Date,Open,High,Low,Close,Adjusted_close,Volume
2021-08-09,235.79,236.07,234.03,234.68,229.5573,2093100
2021-08-10,235.1,235.1,233.24,233.45,228.3541,2027500
2021-08-11,234.19,235.94,233.75,235.55,230.4083,1969100
2021-08-12,236,236.76,235.05,236.67,231.5038,1490800
2021-08-13,236.79,239,236.27,238.82,233.6069,1699700
2021-08-16,239,241.05,238.56,240.97,235.7099,2175300
2021-08-17,240.35,240.84,238.21,240.28,235.035,1652000
2021-08-18,239.44,239.76,237.78,238.08,232.883,2215500
2021-08-19,236.68,238.12,236.07,237.23,232.0516,1455400
2021-08-20,236.96,239.39,236.32,238.49,233.2841,1989700
2021-08-23,239.46,240.07,237.99,239.66,234.4285,2086900
2021-08-24,240.39,240.39,238.32,238.43,233.2254,1687700
2021-08-25,237.93,239.6,237.84,238.83,233.6167,1668000
2021-08-26,238.79,238.92,235.92,236.95,231.7777,2008000
2021-08-27,237.43,238.37,236.37,237.48,232.2961,1784000
2021-08-30,237.34,237.76,235.86,236.59,231.4256,2245600
2021-08-31,235.75,237.73,234.67,237.46,233.55,2938100
2021-09-01,237.88,239.04,237.21,238.15,234.2286,2197100
2021-09-02,239.2,239.95,238.38,239.87,235.9203,2140200
2021-09-03,238.39,239.65,237.51,238.82,234.8876,1339300
2021-09-07,238.61,238.61,235.95,236.19,232.3009,1820000
2021-09-08,236.8,239.46,236,238.62,234.6909,2718400
2021-09-09,238.42,241.43,237.77,238.61,234.6811,2992200
2021-09-10,240.32,241.32,239.04,239.18,235.2417,2035200
2021-09-13,240.83,241.8,239.84,241.21,237.2382,2294800
2021-09-14,241.73,242.25,239.5,241.13,237.1596,2013800
2021-09-15,240.47,241.27,238.18,240.98,237.012,2507200
2021-09-16,240.29,243.59,239.95,243.21,239.2053,3410700
2021-09-17,243.84,244.63,241.88,242.49,238.4972,4756600
2021-09-20,239.88,241.96,236.64,239.09,235.1532,4549900
2021-09-21,240,242.35,239.4,240.5,236.5399,2008300
2021-09-22,241.8,245.86,241.47,243.13,239.1266,3361900
2021-09-23,243.74,245.95,243.53,244.78,240.7495,2941700
2021-09-24,246.64,247.38,245.24,246.42,242.3625,2508800
2021-09-27,246,248.9,245.28,248.11,244.0246,2463300
2021-09-28,247.29,247.71,242.91,243.77,239.7561,3007500
2021-09-29,244.38,245.71,243.15,244.28,240.2577,1719000
2021-09-30,244.77,245.42,240.82,241.11,237.1399,3136800
2021-10-01,243.07,244.69,240.25,242.93,238.9299,2076000
2021-10-04,242.06,244.81,241.86,243.08,239.0775,2236500
2021-10-05,243.97,246.88,243.01,245.22,241.1822,2463100
2021-10-06,244.56,247.16,243.02,247.1,243.0313,2107900
2021-10-07,248,249.95,247.68,248.32,244.2312,2423900
2021-10-08,249.25,249.63,247.11,247.7,243.6214,1687500
2021-10-11,248.1,249.14,246.45,246.58,242.5198,1504000
2021-10-12,247.73,248.6,244.18,244.52,240.4937,2346700
2021-10-13,243.27,243.87,239.9,242.65,238.6545,3214300
2021-10-14,242.88,245.42,242.04,244.55,240.5232,2512000
2021-10-15,245.24,246.38,241.99,242.25,238.2611,2564700
2021-10-18,242.42,243.45,241.13,242.26,238.271,2484900
2021-10-19,243.22,243.93,241.53,242.77,238.7726,2071600
2021-10-20,240.4,242.65,239.29,239.72,235.7728,3040200
2021-10-21,240.17,241.91,239.31,241.4,237.4251,2702400
2021-10-22,240.71,242.24,238,238.44,234.5139,3283700
2021-10-25,239.23,239.25,236.5,237.34,233.432,3178400
2021-10-26,237.47,238.4,236.14,236.42,232.5271,3066400
2021-10-27,241.05,244.62,238.85,242.73,238.7332,5249400
2021-10-28,243.4,246.08,242.53,245.5,241.4576,3448500
2021-10-29,243,246.09,242.47,245.55,241.5068,4329400
2021-11-01,245.8,251.69,245.34,250.58,246.454,4456200
2021-11-02,251.76,252.22,248.16,249.24,245.136,2624300
2021-11-03,247.99,251.13,247.91,250.4,246.2769,2399000
2021-11-04,251.12,254.18,250.2,253.46,249.2865,2711000
2021-11-05,254.69,257.53,254.62,254.71,250.516,3224300
2021-11-08,254.78,255.65,251.93,253.1,248.9325,2471300
2021-11-09,252.91,253.69,250.45,252.65,248.4899,2258900
2021-11-10,250.81,253.72,250.81,253.13,248.962,1794300
2021-11-11,253.33,253.33,249.26,250.16,246.0409,1640500
2021-11-12,250.15,251.01,248.89,250.67,246.5425,1625200
2021-11-15,250.67,253.76,250.67,252.94,248.7751,1709200
2021-11-16,253.5,254.19,252.38,252.46,248.303,2195500
2021-11-17,252.41,253.34,250.52,252.69,248.5292,1412000
2021-11-18,253.16,253.49,251.08,253.48,249.3062,1751200
2021-11-19,253.29,253.32,250.23,251.95,247.8014,2743100
2021-11-22,252.67,255.45,252.21,253.48,249.3062,2438700
2021-11-23,254.81,255.79,253.05,255.65,251.4405,2770000
2021-11-24,254.5,257.79,254.05,257.11,252.8764,2642800
2021-11-26,252.51,253.16,248.27,250.01,245.8933,2573300
2021-11-29,251.85,252.32,249.83,250.3,246.1786,2084600
2021-11-30,247.38,247.9,243.95,244.6,241.9061,3836100
2021-12-01,245.76,250.9,244.11,244.18,241.4908,3275300
2021-12-02,245.66,250.34,245,248.8,246.0599,3290500
2021-12-03,250.32,250.68,247.57,249.33,246.5841,3229900
2021-12-06,252.4,256.93,252.37,255.79,252.9729,3616800
2021-12-07,256.95,260.38,256.45,259.91,257.0475,2596200
2021-12-08,260,262.81,259.09,259.58,256.7212,3453100
2021-12-09,259.5,263.1,258.36,262.34,259.4508,2955100
2021-12-10,263.88,265.27,262.43,264.97,262.0518,2529600
2021-12-13,264.22,265.86,262.4,263.09,260.1925,2878800
2021-12-14,263,263.59,261.75,262.52,259.6288,3695500
2021-12-15,262.16,265.67,261.41,264.52,261.6068,2641800
2021-12-16,265.56,266.89,264.09,265.55,262.6254,2347700
2021-12-17,264,264.85,260.88,261.7,258.8178,5943200
2021-12-20,259.63,261.96,258.43,261.73,258.8475,2824500
2021-12-21,264.29,266.48,263.42,264.39,261.4782,2851800
2021-12-22,264.32,265.44,264.07,264.94,262.0221,1795100
2021-12-23,265.92,267.37,265.45,265.95,263.021,1509800
2021-12-27,266.47,268.26,266,268.24,265.2858,1485500
2021-12-28,267.58,269.22,267.25,267.88,264.9298,1304000
2021-12-29,268.45,269.72,267.95,268.49,265.533,1318500
2021-12-30,269,269.26,266.7,267.21,264.2671,1714600
2021-12-31,268,269.12,267.21,268.07,265.1177,1519200
2022-01-03,269.49,270.73,265.56,268.58,265.622,2750600
2022-01-04,269.5,271.15,268.27,268.51,265.5528,2506000
2022-01-05,269.3,270.28,266.9,267.19,264.2474,2473000
2022-01-06,268.12,270.76,267.8,269.69,266.7198,2908400
2022-01-07,268.56,270.17,267,267.06,264.1188,2209100
2022-01-10,266.71,266.72,262.01,264.41,261.498,3122400
2022-01-11,263.49,263.95,260.32,262.12,259.2332,3206200
2022-01-12,263.37,263.95,260.28,260.92,258.0464,3044000
2022-01-13,261.41,263.85,260.59,261.41,258.531,2371300
2022-01-14,261.14,261.24,257.16,257.71,254.8718,3460100
2022-01-18,256.96,257.1,254.31,256.48,253.6553,3076500
2022-01-19,257.55,257.95,255.08,255.22,252.4092,2304700
2022-01-20,256.62,258.11,252.9,253.13,250.3422,2602200
2022-01-21,254.04,258.46,253.69,254.59,251.7861,3738100
2022-01-24,252.38,253.92,247.78,253.61,250.8169,5153100
2022-01-25,250.83,252.53,247.07,250.68,247.9192,3908600
2022-01-26,253,254.21,247.86,249.85,247.0983,3839000
2022-01-27,249.6,252.46,245.25,248.74,246.0006,5199000
2022-01-28,250,256.35,247.16,256.09,253.2696,3833200
2022-01-31,255.02,259.5,254.44,259.45,256.5926,3174200
2022-02-01,259.75,259.9,255.58,258.99,256.1377,2496500
2022-02-02,258.83,262.61,258.49,262.28,259.3914,2371500
2022-02-03,262,262.8,260.07,260.64,257.7695,2242200
2022-02-04,259.87,261.73,257.79,260.06,257.1959,1989700
2022-02-07,261,261.58,259.17,259.85,256.9882,1959300
2022-02-08,260.5,262.38,259.1,260.08,257.2157,2920000
2022-02-09,261.99,262.88,259.41,259.86,256.9981,2379300
2022-02-10,258.6,260.44,255.97,256.87,254.041,3246600
2022-02-11,256.87,258.76,254.73,255.16,252.3498,3592700
2022-02-14,255.91,256.25,251.68,253.39,250.5993,2825800
2022-02-15,254.82,256.92,253.56,253.81,251.0147,2171500
2022-02-16,253.77,254.6,251.2,253.09,250.3026,2941800
2022-02-17,251.48,252.88,250,250.93,248.1664,2831900
2022-02-18,250.34,252.29,250.01,250.6,247.8401,2813500
2022-02-22,250.01,254.7,249.6,252.7,249.9169,3980500
2022-02-23,253.53,253.85,247.08,247.79,245.061,3497200
2022-02-24,242.93,245.58,239.61,245.03,242.3314,4856000
2022-02-25,246,249.53,243.63,249.45,246.7027,4549700
2022-02-28,244.44,245.72,242.36,244.77,243.4209,4410400
2022-03-01,242.3,243.6,238.3,239.63,238.3092,3910700
2022-03-02,240.85,242.74,239.61,240.94,239.612,4482000
2022-03-03,241.01,242.34,235.68,236.65,235.3457,4707400
2022-03-04,234.62,236.39,231.64,235.81,234.5103,4184100
2022-03-07,234.31,234.31,224.19,224.33,223.0936,5425000
2022-03-08,224.33,229.74,222.2,222.79,221.5621,5258800
2022-03-09,226.79,227.25,222.01,222.47,221.2438,5630500
2022-03-10,220.2,222.05,217.68,222,220.7764,5444900
2022-03-11,224.74,229.11,224.2,226.87,225.6196,6126300
2022-03-14,226.78,228.44,223.16,226.18,224.9334,4436100
2022-03-15,227.98,234.57,227.98,232.57,231.2882,5087400
2022-03-16,234.87,238.21,234.36,238.14,236.8275,4173200
2022-03-17,236.44,237.47,234.54,237.47,236.1612,3752800
2022-03-18,237.23,239.19,235.99,238.92,237.6032,5336500
2022-03-21,239.58,240.09,234.07,235.32,234.023,3704000
2022-03-22,237.04,238.44,236.47,238.12,236.8076,2938100
2022-03-23,237.13,238.01,235.95,236.12,234.8186,2200500
2022-03-24,237.56,241.04,236.47,240.26,238.9358,2337500
2022-03-25,240.54,241.85,239.43,241.58,240.2485,2134800
2022-03-28,241.91,242.95,239.86,242.94,241.601,2041800
2022-03-29,246.35,248.65,244.77,248.17,246.8022,2657400
2022-03-30,247.51,250.5,247.51,249.03,247.6574,2227300
2022-03-31,249.72,251.35,247.28,247.28,245.9171,3803400
2022-04-01,248.12,249.43,246.18,249.25,247.8762,2023000
2022-04-04,246.79,247.27,242.38,246.83,245.4696,2500700
2022-04-05,246.1,249.74,245.43,248.51,247.1403,2532500
2022-04-06,247.64,252.38,245.98,251.46,250.074,2886000
2022-04-07,250.79,255.48,249.54,254.36,252.9581,4041800
2022-04-08,253.04,255.07,250.92,251.46,250.074,2551000
2022-04-11,251.25,252.94,249.93,250.45,249.0696,2326700
2022-04-12,250.73,252.29,248.8,249.17,247.7967,2724900
2022-04-13,249.36,251.66,249.02,251.33,249.9448,2133800
2022-04-14,251.33,253.73,250.43,250.51,249.1293,2105900
2022-04-18,249.63,252.49,249.13,251.06,249.6763,1426600
2022-04-19,250.04,255.96,250.04,255.4,253.9923,2324500
2022-04-20,256,257.79,254.82,255.85,254.4399,2278700
2022-04-21,257.65,259.61,254.88,255.25,253.8432,2476900
2022-04-22,255,255,249.94,250.17,248.7912,2643600
2022-04-25,249.45,253.13,247.93,252.88,251.4862,2523000
2022-04-26,250.13,252.41,248.33,248.58,247.2099,2948500
2022-04-27,247.98,250.97,247.05,247.14,245.7779,2706500
2022-04-28,249.94,256.38,248.08,254.19,252.789,3547400
2022-04-29,254.28,254.85,248.8,249.16,247.7867,3388000
2022-05-02,250.86,251.55,242.26,246.64,245.2806,3418700
2022-05-03,247.39,247.84,242.28,245.87,244.5149,2562000
2022-05-04,246.16,254.78,246.16,254.32,252.9183,3289300
2022-05-05,252.89,254.49,246.78,248.92,247.548,2925900
2022-05-06,248.19,252.45,247.7,250.78,249.3978,2964500
2022-05-09,247,249.9,246.79,247.49,246.1259,2918900
2022-05-10,248.99,250.88,244.93,245.68,244.3259,3070800
2022-05-11,245.27,246.79,243.21,244.43,243.0828,2833200
2022-05-12,245.32,246.38,241.12,244.19,242.8441,2861000
2022-05-13,247.15,247.18,242.28,245.04,243.6894,3255200
2022-05-16,244.46,245.48,240.73,244.04,242.6949,2147100
2022-05-17,246,247,239.46,241.63,240.2982,3204900
2022-05-18,239.46,240.08,230.37,231.05,229.7765,3946100
2022-05-19,229.5,232.15,228.34,229,227.7378,3518300
2022-05-20,231.38,234.06,228.59,233.91,232.6208,3208200
2022-05-23,235.76,238.89,233.5,238,236.6882,3053500
2022-05-24,237.5,245.8,237.45,244.52,243.1723,5258200
2022-05-25,242.58,245.7,241.59,244.01,242.6651,2641700
2022-05-26,246,249.33,245.6,248.09,246.7226,1972300
2022-05-27,249.5,251.87,248.78,251.87,250.4818,2063800
2022-05-31,250,254.28,248.63,252.21,250.8199,3924700
2022-06-01,253.19,253.42,248.19,249.28,247.9061,2264100
2022-06-02,249.6,250.44,246.22,250.38,249,2089700
2022-06-03,248.43,250.27,248.17,248.36,248.36,1838900
2022-06-06,249.08,249.53,247.33,248.07,248.07,1569300
2022-06-07,246,249.79,245.53,248.94,248.94,2782000
2022-06-08,247.9,248.48,244.89,245.61,245.61,2101300
2022-06-09,243.62,246,242.03,242.16,242.16,2682600
2022-06-10,239.18,239.51,237.16,237.38,237.38,1992300
2022-06-13,232.79,240.1,232.68,238.47,238.47,4697000
2022-06-14,239.96,242.9,238.62,238.76,238.76,3564800
2022-06-15,239.86,241.58,236.12,238.9,238.9,3152100
2022-06-16,236.08,237.32,233.82,235.19,235.19,3272000
2022-06-17,234.22,235.49,232.17,234.38,234.38,7236300
2022-06-21,236.22,240.1,234.14,239.59,239.59,3263500
2022-06-22,238.79,244.55,238.36,243.06,243.06,3054300
2022-06-23,243.7,245.09,240.46,243.58,243.58,1937000
2022-06-24,245.26,248,244.49,247.9,247.9,3104800
2022-06-27,247.9,248.77,246.57,247.03,247.03,2059200
2022-06-28,247.06,249.96,242.52,242.83,242.83,2381700
2022-06-29,246.14,248.87,245.11,247.74,247.74,2997200
2022-06-30,248.25,248.59,245.45,246.88,246.88,2786200
2022-07-01,246.35,253.14,246,252.96,252.96,2531400
2022-07-05,251.15,253,249.66,252.29,252.29,2390700
2022-07-06,252.47,252.86,249.37,251.46,251.46,1948600
2022-07-07,253.26,254.92,251.18,252.94,252.94,2396700
2022-07-08,252.6,254.62,252.32,253.24,253.24,1450300
2022-07-11,252.08,255.4,252.08,253.28,253.28,1478100
2022-07-12,252.97,255.62,250.76,251.48,251.48,2112800
2022-07-13,248.96,254.8,248.26,252.67,252.67,2205300
2022-07-14,249.89,253.1,249.62,252.6,252.6,2371000
2022-07-15,254.02,256.39,253.45,255.01,255.01,2627200
2022-07-18,255.24,255.59,252.07,252.42,252.42,2164400
2022-07-19,253.88,256.62,252.97,256.5,256.5,2181300
2022-07-20,256.78,256.91,253.47,254.58,254.58,2183700
2022-07-21,253.99,254.8,252.32,253.47,253.47,2056500
2022-07-22,253.75,254.53,252.45,253.99,253.99,2226600
2022-07-25,254.57,254.8,248.66,250.38,250.38,2860400
2022-07-26,249.56,259.22,248.7,257.09,257.09,5272300
2022-07-27,255.8,259.91,254.69,258.89,258.89,2718300
2022-07-28,258.8,264,257.56,263.46,263.46,2849100
2022-07-29,263.65,264.35,262.1,263.37,263.37,2653800
2022-08-01,262.54,265.46,262.41,264.23,264.23,2384000
2022-08-02,264.62,265.45,260.89,261.05,261.05,2375200
2022-08-03,261.05,262.92,259.76,262.09,262.09,2305300
2022-08-04,261.7,262.18,258.69,260.64,260.64,2089600
2022-08-05,259.64,260.03,257.07,259.23,259.23,1818500
